Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MMA Courtage,0,0-30ans,GP,674.5173298,0.1,8,0,0.0,0.0,20850.3104,6942.95454,9.09143477,,,,,,,,
MMA Courtage,0,0-30ans,PC,2357331.254,72774875.8,6377,889,72423749.83,18160965.9,74505835.1,449348.199,1340730894.0,,,,,,,,
MMA Courtage,0,30-40ans,GP,10885.87569,0.1,8,0,0.0,0.0,283963.014,94559.4912,9.01044952,,,,,,,,
MMA Courtage,0,30-40ans,PC,854562.0858,21817943.0,7843,1331,21075645.0,9892173.2,25251436.1,799308.758,345014067.0,,,,,,,,
MMA Courtage,1,40-50ans,GP,15890.37724,97.71,50,0,0.0,0.0,388124.897,129162.622,13147.3444,,,,,,,,
MMA Courtage,1,40-50ans,PC,1934043.498,42899843.0,17036,2143,41947953.0,20869008.0,48225540.2,4511803.16,723044895.0,,,,,,,,
MMA Courtage,0,50-60ans,GP,9407.086049,3651.82,182,0,0.0,0.0,302507.664,101705.633,402162.219,,,,,,,,
MMA Courtage,0,50-60ans,PC,3656852.073,87307752.0,28629,2991,86217564.0,40522604.0,93575474.4,21211595.0,1433014382.0,,,,,,,,
MMA Courtage,0,50-60ans,PP,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA Courtage,0,60-70ans,GP,12616.95251,277703.7,212,2,275000.0,18750.0,341913.247,181355.065,4303196.37,,,,,,,,
MMA Courtage,0,60-70ans,PC,4434601.858,132473205.0,25785,2296,131746357.0,47219128.0,136526027.0,56829855.6,1974813180.0,,,,,,,,
MMA Courtage,1,70-75ans,GP,116.7809919,2212.62,142,0,0.0,0.0,14653.7164,8834.8513,132420.066,,,,,,,,
MMA Courtage,1,70-75ans,PC,979109.6899,35159177.0,10175,546,35050914.0,13804343.0,36948326.4,20793692.8,459459067.0,,,,,,,,
MMA Courtage,1,70-75ans,PP,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MMA Courtage,1,75-80ans,GP,1440.270575,90334.5,175,2,90000.0,0.0,54731.8131,35784.0153,572530.744,,,,,,,,
MMA Courtage,1,75-80ans,PC,512026.2995,22880094.0,6244,263,22818803.0,10723850.0,21161094.6,13220690.2,224843088.0,,,,,,,,
MMA Courtage,1,75-80ans,PP,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
MAAF,1,+80ans,Ex PC,6963.166794,1150209.19,2026,49,1140934.12,2668.0,1202149.26,734734.137,8299827.91,,,,,,,,
MAAF,1,+80ans,GP,33854.71839,4104686.52,16589,504,3958524.07,93314.12,4859822.73,3618578.64,40441282.8,,,,,,,,
MAAF,1,+80ans,PC,362423.0452,38885743.7,16619,726,38828550.3,949459.51,39176281.0,34549533.3,365159672.0,,,,,,,,
MAAF,1,+80ans,PP,1810.777842,234085.27,300,9,232321.17,1799.2,243854.6,176504.876,2096751.83,,,,,,,,
MAAF,0,0-30ans,Ex PC,12400.27674,245292.42,1140,59,222748.42,42120.28,410438.779,5840.79405,4292970.37,,,,,,,,
MAAF,0,0-30ans,GP,288089.2531,9533068.33,38896,3226,8396682.94,1001177.19,17722003.0,247660.657,288208341.0,,,,,,,,
MAAF,0,0-30ans,PC,634584.7717,8089292.94,7715,737,7990722.39,1915919.12,8816574.98,186325.219,200118129.0,,,,,,,,
MAAF,0,0-30ans,PP,60755.11549,1480015.9,6803,485,1315715.2,311541.62,2689533.2,34008.3203,38066932.7,,,,,,,,
MAAF,0,30-40ans,Ex PC,10461.69568,590862.49,997,44,575024.0,45974.23,698080.979,16450.6107,6055586.63,,,,,,,,
MAAF,0,30-40ans,GP,430193.2862,6711334.39,51979,2081,5171552.9,1161784.26,17026705.0,936615.208,258053626.0,,,,,,,,
MAAF,0,30-40ans,PC,771824.7324,9652058.76,3527,394,9547289.67,2694494.3,10399653.0,625081.531,213813227.0,,,,,,,,
MAAF,0,30-40ans,PP,143700.954,1585842.35,3785,306,1307958.18,402577.71,3610593.99,232715.38,59371431.9,,,,,,,,
MAAF,1,40-50ans,Ex PC,11403.15,389805.71,1059,34,370849.65,49872.64,528611.019,36849.1153,5526571.5,,,,,,,,
MAAF,1,40-50ans,GP,746029.7014,11251657.9,79670,2819,9208696.49,1620997.44,25303676.0,3262835.15,396727936.0,,,,,,,,
MAAF,1,40-50ans,PC,2027544.358,21505685.1,7704,873,21156888.71,6794313.18,24033680.9,3982377.66,522242238.0,,,,,,,,
MAAF,1,40-50ans,PP,390350.44,4068722.61,11397,793,3345817.1,1017561.67,9318032.98,1390261.76,152354297.0,,,,,,,,
MAAF,0,50-60ans,Ex PC,21268.56961,727303.28,1573,54,686100.79,43298.0,1022407.28,147255.818,11119196.6,,,,,,,,
MAAF,0,50-60ans,GP,1093964.304,16335312.6,87206,3721,13705396.85,2564725.27,35240849.0,9903498.97,561504312.0,,,,,,,,
MAAF,0,50-60ans,PC,5735887.186,62552412.7,18344,2339,61755600.54,20636803.3,68601025.8,25306380.2,1501662005.0,,,,,,,,
MAAF,0,50-60ans,PP,587549.5262,7788442.26,16505,1188,6895698.93,1963813.26,14426657.0,4230369.75,235668722.0,,,,,,,,
MAAF,0,60-70ans,Ex PC,35266.1921,751313.68,2130,67,724553.0,228030.15,949029.398,296921.176,11147797.9,,,,,,,,
MAAF,0,60-70ans,GP,665779.0058,17406787.8,65580,2993,16072540.56,2238019.09,26790137.0,11321371.3,391225182.0,,,,,,,,
MAAF,0,60-70ans,NC,1537103.938,0.0,4,0,0.0,0.0,22970475.1,4314370.74,0.0,,,,,,,,
MAAF,0,60-70ans,PC,7806481.798,110014557.0,31308,3213,109444257.3,36891128.6,114259992.0,65981935.3,2166622806.0,,,,,,,,
MAAF,0,60-70ans,PP,406224.4518,8792257.05,15969,1075,8400169.22,2493206.38,11602436.0,4659186.62,164336369.0,,,,,,,,
MAAF,1,70-75ans,Ex PC,2390.221853,154261.23,1076,20,147601.63,6440.0,198771.676,73010.6091,1800692.5,,,,,,,,
MAAF,1,70-75ans,GP,217547.2784,7785451.76,22801,896,7438254.05,1056208.03,10131734.3,5928827.49,135910875.0,,,,,,,,
